DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3613.4001,3860.2622,2,0.1134,2.5168,2206.2185,0.4039,0.2492
3613.55,3791.8142,2,0.1347,2.4672,2174.833,0.3813,0.2011
3613.7002,3794.3518,2,0.1385,2.4579,2164.7339,0.3807,0.1912
3613.8501,3795.3997,2,0.1338,2.4666,2177.6606,0.3807,0.1941
3614.0002,3807.6072,2,0.1278,2.4781,2201.781,0.3807,0.1996
3614.1501,3825.769,2,0.129,2.4769,2212.717,0.3841,0.1827
3614.3,3855.1997,2,0.1288,2.4763,2193.8784,0.3845,0.1855
3614.4502,3863.6963,2,0.1269,2.4844,2148.8367,0.3845,0.1862
3614.6001,3858.9829,2,0.1253,2.489,2111.5039,0.3843,0.1858
3614.7502,3826.2551,2,0.1278,2.4854,2077.3164,0.3842,0.1728
3614.9001,3791.6099,2,0.1314,2.4738,2066.1265,0.3842,0.1724
3615.05,3725.896,2,0.1311,2.4661,2072.3918,0.3842,0.2122
3615.2002,3722.5684,2,0.1299,2.4604,2068.3943,0.3843,0.2553
3615.3501,3782.6289,2,0.1282,2.4609,2042.6033,0.3844,0.2735
3615.5002,3925.0618,2,0.1292,2.4602,2006.3495,0.3844,0.256
3615.6501,3961.9114,2,0.1282,2.4674,1964.6453,0.3943,0.2082
3615.8,3944.6196,2,0.1269,2.4745,1939.9996,0.3976,0.1854
3615.9502,3889.7021,2,0.1161,2.4969,1930.708,0.3989,0.2183
3616.1001,3839.7693,0,0.0944,2.5365,1940.3284,0.4536,0.3221
3616.2502,3843.3679,0,0.0688,2.5852,1954.4869,0.5428,0.4403
3616.4001,3827.9714,0,0.0456,2.6242,1965.0431,0.6809,0.5307
3616.55,3801.0625,0,0.0283,2.6404,1939.5723,0.908,0.5717
3616.7002,3774.8418,0,0.0232,2.6389,1889.9573,1,0.5879
3616.8501,3701.689,0,0.0293,2.6363,1836.5267,1,0.5876
3617.0002,3584.5242,0,0.0295,2.6373,1810.4373,1,0.65
3617.1501,3520.7715,0,0.022,2.6401,1807.7969,1,0.734
3617.3,3487.1335,0,0.0117,2.6464,1816.6232,1,0.7895
3617.4502,3462.6201,0,0.0087,2.6497,1828.0284,1,0.7828
3617.6001,3474.4844,0,0.008,2.6518,1847.0167,1,0.7593
3617.7502,3522.9666,0,0.0029,2.651,1868.4727,1,0.7976
3617.9001,3562.9927,0,0,2.6478,1877.137,1,0.8092
3618.05,3583.3203,0,0.0037,2.6458,1871.4147,1,0.7583
3618.2002,3574.9519,0,0.0154,2.6445,1851.6202,1,0.6722
3618.3501,3550.0178,0,0.0233,2.6411,1824.9087,1,0.6215
3618.5002,3537.9434,0,0.0224,2.6349,1798.043,1,0.6438
3618.6501,3522.655,0,0.02,2.6296,1774.8142,1,0.6798
3618.8,3515.5159,0,0.019,2.6253,1764.4224,1,0.7071
3618.9502,3484.6199,0,0.025,2.6252,1760.2704,1,0.6744
3619.1001,3458.9304,0,0.0284,2.6294,1753.0713,1,0.6454
3619.2502,3484.9075,0,0.0256,2.6352,1745.8231,1,0.661
3619.4001,3472.2363,0,0.0179,2.635,1737.4379,1,0.731
3619.55,3453.2449,0,0.0125,2.6274,1736.0562,1,0.805
3619.7002,3446.9446,0,0.0184,2.6215,1738.2604,1,0.7806
3619.8501,3433.9844,0,0.0266,2.6208,1743.7335,1,0.7238
3620.0002,3445.7405,0,0.0321,2.618,1744.0145,1,0.7
3620.1501,3459.4351,0,0.0318,2.6182,1731.826,1,0.7169
